gene_id	Col0_leaf	rdr2_leaf	drm_leaf	Col0_CC	rdr2_CC	drm_CC	Col0_ME	rdr2_ME	drm_ME
AT3G02910	8.95186	7.94066	7.80186	16.1563	33.5096	38.7083	15.1318	24.4088	23.5527
AT1G01120	73.2578	74.4506	77.8981	0.663708	1.37269	1.92745	1.04074	1.54754	2.65833
AT4G25490	19.901	14.3366	4.75328	7.88582	16.3068	17.2031	54.065	36.6403	25.9945
AT3G27880	0.418277	0.448094	0.481662	1.03916	2.14629	2.31337	0.139667	0.337469	0.525804
AT1G48745	18.0875	21.0035	28.1681	0.952497	1.94091	2.44686	6.71904	9.93729	14.0644
AT3G19240	8.11162	10.0103	8.17957	75.2121	152.8	150.757	38.9732	42.9089	34.5019
AT5G24030	13.9616	12.4246	11.837	0.496973	1.00628	2.88293	26.2931	33.2771	33.4824
AT1G30040	0.936971	1.13729	0.733671	5.06855	10.2409	14.2647	1.87679	2.88326	1.48313
AT5G41610	0.0186145	0.317421	0.20632	0.643207	1.28844	2.44756	0.0794186	0.0645295	0.114107
AT3G18485	0.997368	1.33853	1.51525	5.39048	10.7967	10.5127	0.942161	0.948414	0.682151
AT5G09876	0.369045	0.182983	0.332501	3.21281	6.39289	9.48745	1.34691	2.07987	1.76079
AT3G24460	14.0005	14.5214	19.8535	1.07429	2.13082	4.1656	56.2641	33.8871	29.3343
AT2G36220	19.6522	16.1454	10.1786	112.72	222.54	236.796	138.594	168.632	171.54
AT2G33380	169.158	130.9	222.451	9.28354	18.2737	41.8921	127.07	175.411	273.405
AT3G21690	17.8303	19.5283	17.6535	0.913377	1.7974	4.64403	16.9847	15.818	16.1915
AT5G26600	5.06103	4.91925	5.01315	6.01294	11.8066	14.9901	3.91667	5.85696	4.81805
AT5G20320	0.991717	0.928612	1.20608	3.39241	6.59808	6.74285	0.878226	0.922391	0.597256
AT5G13190	73.0907	70.4443	62.9844	178.817	347.369	353.396	204.556	269.691	329.326
AT4G31248	0.648336	0.472761	0.806656	0.664823	1.28911	1.46704	0.887932	0.95129	0.479378
AT1G19770	82.2399	82.0622	59.8552	44.3821	86.0116	89.4251	247.545	416.671	354.67
AT2G26250	84.8743	88.8722	82.8947	0.632203	1.22265	1.64856	0.385098	0.36287	0.611114
AT1G09970	20.0793	18.8354	16.1005	14.8422	28.6409	35.5451	25.089	34.9172	36.5944
AT3G47480	4.07091	4.1629	4.55815	1.62073	3.10488	3.85607	0.700413	1.85517	1.22447
AT2G33100	0.0151504	0.0121183	0.00938101	1.69472	3.23758	2.56346	1.15448	1.31687	0.972849
AT1G77380	0.170635	0.0781852	0.0871708	2.32617	4.43648	8.66328	0.15822	0.167494	0.163019
AT3G27810	0.0	0.0689681	0.0238945	1.38976	2.63249	2.77671	0.0627797	0.128493	0.0
AT5G64687	1.25649	1.18799	1.85508	15.2385	28.8387	27.205	0.334062	0.271045	0.114152
AT5G47900	5.67839	5.5821	6.36001	2.23312	4.2252	4.35432	8.66765	5.28051	6.3922
AT5G23850	2.42731	2.61421	3.25059	14.1298	26.6785	25.5288	1.62962	3.13151	1.41725
AT5G54240	0.318117	0.202159	0.367256	0.619216	1.16836	1.81302	0.252336	1.09375	0.421685
AT2G20180	8.71221	8.5003	8.92583	0.902558	1.70126	1.44219	8.28794	6.26655	5.55542
AT4G21990	15.7738	18.2783	15.5167	88.9363	167.564	170.125	83.2556	69.9593	79.6315
AT1G52342	61.2616	71.3731	82.3567	1.28076	2.40335	2.56667	30.1158	41.7715	55.4005
AT3G09770	13.4252	13.7986	15.9095	24.1259	45.271	56.6005	10.6086	10.8828	11.1768
AT1G55920	21.2438	21.9543	21.2747	74.2875	139.186	175.449	64.0917	80.514	97.269
AT3G55970	0.0928684	0.268673	0.0365474	2.63438	4.90369	7.27618	0.613086	0.921041	1.11208
